unit_code,unit_name,storm_id,pcpout_mm_v1_2,rain_geotiff_mm_v1_6,diff_mm,rel_diff_pct
AG06,Saint Paul,sample_0174,478.55,479.39,0.84,0.18
AG06,Saint Paul,sample_0175,493.01,494.52,1.51,0.31
AG06,Saint Paul,sample_0176,630.93,634.13,3.2,0.51
AG06,Saint Paul,sample_0177,398.4,402.44,4.04,1.01
AG06,Saint Paul,sample_0178,536.2,537.46,1.26,0.23
AG06,Saint Paul,sample_0179,575.34,578.07,2.72,0.47
AG06,Saint Paul,sample_0180,458.94,463.93,4.99,1.09
AG06,Saint Paul,sample_0181,567.43,568.4,0.97,0.17
AG06,Saint Paul,sample_0182,622.73,626.02,3.29,0.53
AG06,Saint Paul,sample_0183,521.6,527.37,5.77,1.11
AG06,Saint Paul,sample_0184,550.21,553.65,3.44,0.63
AG06,Saint Paul,sample_0185,650.14,657.18,7.04,1.08
AG06,Saint Paul,sample_0186,659.67,663.16,3.49,0.53
AG06,Saint Paul,sample_0187,761.53,758.67,-2.86,-0.38
AG06,Saint Paul,sample_0188,597.47,604.48,7.01,1.17
AG06,Saint Paul,sample_0189,642.15,643.04,0.9,0.14
AG06,Saint Paul,sample_0190,738.06,736.9,-1.16,-0.16
AG06,Saint Paul,sample_0191,733.96,737.46,3.5,0.48
AG06,Saint Paul,sample_0192,881.96,881.29,-0.67,-0.08
AG06,Saint Paul,sample_0193,607.72,612.15,4.43,0.73
AG06,Saint Paul,sample_0194,890.89,891.89,1.0,0.11
AG06,Saint Paul,sample_0195,830.44,832.11,1.67,0.2
AG06,Saint Paul,sample_0196,1006.65,1007.51,0.86,0.09
AG06,Saint Paul,sample_0197,879.19,879.5,0.31,0.04
AG06,Saint Paul,sample_0198,838.23,838.22,-0.01,-0.0
AG06,Saint Paul,sample_0199,1034.19,1039.16,4.97,0.48
AG06,Saint Paul,sample_0200,1104.61,1108.13,3.52,0.32
AG07,Saint Peter,sample_0001,1006.68,1004.23,-2.45,-0.24
AG07,Saint Peter,sample_0002,0.0,0.03,0.03,
AG07,Saint Peter,sample_0003,0.0,0.0,0.0,
AG07,Saint Peter,sample_0004,0.0,0.27,0.27,
AG07,Saint Peter,sample_0005,0.0,1.46,1.46,
AG07,Saint Peter,sample_0006,0.0,0.12,0.12,
AG07,Saint Peter,sample_0007,0.0,2.49,2.49,
AG07,Saint Peter,sample_0008,1.22,4.59,3.37,275.63
AG07,Saint Peter,sample_0009,0.0,0.81,0.81,
AG07,Saint Peter,sample_0010,1.31,4.49,3.17,241.54
AG07,Saint Peter,sample_0011,0.0,0.38,0.38,
AG07,Saint Peter,sample_0012,10.73,10.55,-0.17,-1.62
AG07,Saint Peter,sample_0013,2.38,6.31,3.93,165.41
AG07,Saint Peter,sample_0014,7.2,11.38,4.18,58.04
AG07,Saint Peter,sample_0015,19.79,27.26,7.46,37.71
AG07,Saint Peter,sample_0016,7.6,9.65,2.05,26.97
AG07,Saint Peter,sample_0017,4.72,8.73,4.01,84.95
AG07,Saint Peter,sample_0018,26.84,31.66,4.82,17.96
AG07,Saint Peter,sample_0019,14.84,18.62,3.78,25.45
AG07,Saint Peter,sample_0020,6.85,12.94,6.09,88.87
AG07,Saint Peter,sample_0021,0.0,0.64,0.64,
AG07,Saint Peter,sample_0022,0.0,0.38,0.38,
AG07,Saint Peter,sample_0023,0.0,1.9,1.9,
AG07,Saint Peter,sample_0024,0.89,2.38,1.49,167.48
AG07,Saint Peter,sample_0025,32.44,33.93,1.49,4.6
AG07,Saint Peter,sample_0026,39.36,42.32,2.96,7.53
AG07,Saint Peter,sample_0027,22.86,27.36,4.5,19.66
AG07,Saint Peter,sample_0028,30.11,36.4,6.28,20.87
AG07,Saint Peter,sample_0029,14.26,15.58,1.32,9.23
AG07,Saint Peter,sample_0030,5.82,8.27,2.45,42.17
AG07,Saint Peter,sample_0031,19.41,23.38,3.98,20.5
AG07,Saint Peter,sample_0032,0.0,0.69,0.69,
AG07,Saint Peter,sample_0033,0.0,0.62,0.62,
AG07,Saint Peter,sample_0034,1.22,3.16,1.94,158.65
AG07,Saint Peter,sample_0035,92.28,96.28,4.01,4.34
AG07,Saint Peter,sample_0036,122.1,125.33,3.23,2.64
AG07,Saint Peter,sample_0037,0.0,0.23,0.23,
AG07,Saint Peter,sample_0038,97.13,98.31,1.19,1.22
AG07,Saint Peter,sample_0039,128.03,134.16,6.13,4.79
AG07,Saint Peter,sample_0040,73.93,80.02,6.08,8.23
AG07,Saint Peter,sample_0041,0.0,0.41,0.41,
AG07,Saint Peter,sample_0042,127.35,127.42,0.07,0.05
AG07,Saint Peter,sample_0043,119.55,123.87,4.32,3.61
